,Zipcode,City,Area ID,Area Name,Crime Code,Crime Code Description,Date Occurred,Date Reported,DR #,Latitude,Longitude,Location,MO Code,Premise Code,Reporting District,Time Occurred,mo_descriptions
35,90017,los angeles,01,Central,220,ATTEMPTED ROBBERY,2010-02-10,2010-02-11,100100608,34.0502,-118.2574,6TH                          ST,0416,210,0152,1900,{'0416': 'Hit-Hit w/ weapon'}
36,90017,los angeles,01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2010-02-10,2010-02-11,100100610,34.0480,-118.2577,700 W  7TH                          ST,0325 1402,404,0162,1800,"{'0325': 'Took merchandise', '1402': 'Evidence Booked (any crime)'}"
37,90015,los angeles,01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2010-02-11,2010-02-11,100100616,34.0389,-118.2643,PICO,1212,102,0192,1515,{'1212': 'LA Police Officer'}
38,90017,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-02-13,2010-02-13,100100622,34.0450,-118.2640,800 W  OLYMPIC                      BL,0416,101,0171,0055,{'0416': 'Hit-Hit w/ weapon'}
39,90012,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-02-13,2010-02-13,100100623,34.0559,-118.2296,700 E  CESAR E CHAVEZ               AV,0329,210,0119,0150,{'0329': 'Vandalized'}
40,90013,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-02-14,2010-02-15,100100628,34.0426,-118.2412,500    STANFORD                     AV,0408,502,0158,1500,{'0408': 'Choked/uses choke hold/Strangulation/Suffocation'}
41,90079,los angeles,01,Central,210,ROBBERY,2010-02-15,2010-02-15,100100630,34.0544,-118.2466,1ST                          ST,0400,101,0123,0100,{'0400': 'Force used'}
42,90013,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-02-16,2010-02-16,100100632,34.0449,-118.2415,500 E  4TH                          ST,0400 2000,102,0138,1540,"{'0400': 'Force used', '2000': 'Domestic violence'}"
43,90014,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-02-17,2010-02-17,100100633,34.0481,-118.2507,500 S  BROADWAY,0329,406,0153,1725,{'0329': 'Vandalized'}
44,90017,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-02-19,2010-02-20,100100634,34.0480,-118.2577,700 S  HOPE                         ST,0400,102,0162,2040,{'0400': 'Force used'}
