Zipcode,City,Area ID,Area Name,Crime Code,Crime Code Description,Date Occurred,Date Reported,DR #,Latitude,Longitude,Location,MO Code,Premise Code,Reporting District,Time Occurred,mo_descriptions,count_of_crime,charge_of_violations
90079,los angeles,01,Central,210,ROBBERY,2010-02-15,2010-02-15,100100630,34.0544,-118.2466,1ST                          ST,0400,101,0123,0100,{'0400': 'Force used'},1,1
90013,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-02-16,2010-02-16,100100632,34.0449,-118.2415,500 E  4TH                          ST,0400 2000,102,0138,1540,"{'0400': 'Force used', '2000': 'Domestic violence'}",2,2
90014,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-02-17,2010-02-17,100100633,34.0481,-118.2507,500 S  BROADWAY,0329,406,0153,1725,{'0329': 'Vandalized'},1,1
90017,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-02-19,2010-02-20,100100634,34.0480,-118.2577,700 S  HOPE                         ST,0400,102,0162,2040,{'0400': 'Force used'},1,1
90017,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-02-19,2010-02-20,100100635,34.0480,-118.2577,700 S  HOPE                         ST,0400,101,0162,2030,{'0400': 'Force used'},1,1
90014,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-02-20,2010-02-20,100100638,34.0439,-118.2514,100 W  7TH                          ST,0329,101,0164,0100,{'0329': 'Vandalized'},1,1
90014,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-02-20,2010-02-20,100100639,34.0453,-118.2499,600 S  MAIN                         ST,2000,502,0164,0230,{'2000': 'Domestic violence'},1,1
90014,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-02-21,2010-02-21,100100642,34.0431,-118.2536,800 S  SPRING                       ST,0400 0408,501,0174,0500,"{'0400': 'Force used', '0408': 'Choked/uses choke hold/Strangulation/Suffocation'}",2,2
90012,los angeles,01,Central,310,BURGLARY,2010-02-25,2010-02-25,100100650,34.0617,-118.2469,500 N  FIGUEROA                     ST,0344 1251,502,0111,0030,"{'0344': 'Removes vict property', '1251': 'Victim was a student'}",2,2
90014,los angeles,01,Central,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2010-02-25,2010-02-26,100100651,34.0394,-118.2496,600 E  8TH                          ST,0416 0429,108,0176,2330,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}",2,2
90014,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-02-27,2010-02-27,100100654,34.0445,-118.2523,W  7TH                          ST,,101,0174,1955,{'nan': 'Unknown code'},1,1
90079,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-02-28,2010-02-28,100100655,34.0524,-118.2467,300 W  2ND                          ST,0416,102,0133,0015,{'0416': 'Hit-Hit w/ weapon'},1,1
