house_price,zip_code,house_address,beds,baths,house_link
1824999,91001,"2954 Zane Grey, Altadena, CA 91001",5,5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Altadena/2954-Zane-Grey-Ter-91001/home/7259675
699999,91326,"11505 Amalfi Way, Northridge, CA 91326",3,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Northridge/11505-Amalfi-Way-91326/home/51576125
469000,93536,"2043 Balmont St, Lancaster, CA 93536",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Lancaster/2043-Balmont-St-93536/home/8140644
1749000,90019,"4546 St Elmo Dr, Los Angeles, CA 90019",8,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-3/CA/Los-Angeles/4546-St-Elmo-Dr-90019/home/6905933
620000,91741,"413 S Glendora Ave, Glendora, CA 91741",4,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Glendora/413-S-Glendora-Ave-91741/home/51587557
430000,91381,"25935 Stafford Canyon Rd Unit F, Stevenson Ranch, CA 91381",2,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Stevenson-Ranch/25935-Stafford-Canyon-Rd-91381/unit-F/home/5996392
389900,90814,"564 N Bellflower Blvd #104, Long Beach, CA 90814",1,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Long-Beach/564-N-Bellflower-Blvd-90814/unit-104/home/7595246
1460000,91107,"2437 San Pasqual St, Pasadena, CA 91107",3,3.25,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Pasadena/2437-San-Pasqual-St-91107/home/7013833
1149000,91504,"1910 Bonita Ave, Burbank, CA 91504",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Burbank/1910-Bonita-Ave-91504/home/5364807
474900,90810,"3595 Santa Fe Ave #151, Long Beach, CA 90810",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Long-Beach/3595-Santa-Fe-Ave-90810/unit-151/home/22954358
465000,91406,"17510 Sherman Way #111, Lake Balboa, CA 91406",2,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Van-Nuys/17510-Sherman-Way-91406/unit-111/home/4534880
575000,90712,"5928 Premiere Ave, Lakewood, CA 90712",2,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Lakewood/5928-Premiere-Ave-90712/home/7550626
415888,91744,"312 Shade Ln, La Puente, CA 91744",2,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/La-Puente/312-Shade-Ln-91744/home/7857524
449000,91801,"210 N Monterey St #202, Alhambra, CA 91801",1,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Alhambra/210-N-Monterey-St-91801/unit-202/home/102235909
607000,91354,"26873 Cuatro Milpas St, Valencia, CA 91354",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Santa-Clarita/26873-Cuatro-Milpas-St-91354/home/5953107
739000,90017,"889 Francisco St #1010, Los Angeles, CA 90017",1,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Los-Angeles/889-Francisco-St-90017/unit-1010/home/143519346
439000,91401,"6525 Woodman Ave #30, Valley Glen, CA 91401",2,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Van-Nuys/6525-Woodman-Ave-91401/unit-30/home/12286449
615000,90806,"2518 Earl Ave, Long Beach, CA 90806",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Long-Beach/2518-Earl-Ave-90806/home/7571631
1399000,91206,"2133 Erin Way, Glendale, CA 91206",3,2.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Glendale/2133-Erin-Way-91206/home/7167591
575000,90043,"5317 2nd Ave, Los Angeles, CA 90043",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Los-Angeles/5317-2nd-Ave-90043/home/6863823
1525000,90056,"6216 S Corning Ave, Los Angeles, CA 90056",4,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Los-Angeles/6216-S-Corning-Ave-90056/home/6595783
1298000,91607,"12243 45 Collins St, Valley Village, CA 91607",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/North-Hollywood/12243-Collins-St-91607/home/5167728
899000,90016,"2135 S Palm Grove Ave, Los Angeles, CA 90016",5,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Los-Angeles/2135-S-Palm-Grove-Ave-90016/home/6899574
409000,93551,"4532 Paseo Hermoso, Palmdale, CA 93551",4,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-4/CA/Palmdale/4532-Pso-Hermoso-93551/home/6099405
1199900,90703,"13534 Darvalle St, Cerritos, CA 90703",5,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Cerritos/13534-Darvalle-St-90703/home/7467276
930000,90004,"611 N Bronson Ave #9, Los Angeles, CA 90004",1,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Los-Angeles/611-N-Bronson-Ave-90004/unit-9/home/17227519
