ID,zip_code,mo_code,mo_description,charge_of_violations,date_occurred,date_reported,area_name,latitude,longitude
83,90017,0344 0601 1402 1606,"{'0344': 'Removes vict property', '0601': 'Business', '1402': 'Evidence Booked (any crime)', '1606': 'Open/unlocked'}",4,3/22/10,3/22/10,Central,34.048,-118.2577
84,90015,0416 0552,"{'0416': 'Hit-Hit w/ weapon', '0552': ""Suspect is Victim's Father""}",2,3/19/10,3/22/10,Central,34.0317,-118.2641
85,90071,416,{'0416': 'Hit-Hit w/ weapon'},1,3/22/10,3/25/10,Central,34.0516,-118.2526
86,90017,433,{'0433': 'Makes victim kneel'},1,3/22/10,3/24/10,Central,34.048,-118.2577
87,90015,344,{'0344': 'Removes vict property'},1,3/23/10,3/25/10,Central,34.032,-118.2667
88,90026,0311 0329 0906,"{'0311': 'Graffiti', '0329': 'Vandalized', '0906': 'Gangs'}",3,3/23/10,3/23/10,Central,34.0717,-118.2493
89,90014,0400 0416,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon'}",2,3/24/10,3/24/10,Central,34.0446,-118.245
90,90017,0906 1501,"{'0906': 'Gangs', '1501': 'Other MO (see rpt)'}",2,3/25/10,3/25/10,Central,34.0475,-118.2657
91,90015,2000,{'2000': 'Domestic violence'},1,3/27/10,3/27/10,Central,34.0454,-118.2657
92,90014,400,{'0400': 'Force used'},1,3/27/10,3/27/10,Central,34.0474,-118.2531
93,90079,1501,{'1501': 'Other MO (see rpt)'},1,3/26/10,3/27/10,Central,34.0496,-118.2458
94,90013,0906 1100 1402,"{'0906': 'Gangs', '1100': 'Shots Fired', '1402': 'Evidence Booked (any crime)'}",3,3/28/10,3/28/10,Central,34.0449,-118.2415
95,90017,1402,{'1402': 'Evidence Booked (any crime)'},1,3/28/10,3/28/10,Central,34.045,-118.264
96,90014,329,{'0329': 'Vandalized'},1,3/29/10,4/1/10,Central,34.0373,-118.2503
97,90012,0329 0421,"{'0329': 'Vandalized', '0421': 'Threaten to kill'}",2,3/31/10,3/31/10,Central,34.0635,-118.2426
98,90014,344,{'0344': 'Removes vict property'},1,4/2/10,4/3/10,Central,34.0416,-118.2584
99,90012,0329 1402,"{'0329': 'Vandalized', '1402': 'Evidence Booked (any crime)'}",2,4/3/10,4/3/10,Central,34.0644,-118.2387
100,90013,416,{'0416': 'Hit-Hit w/ weapon'},1,4/5/10,4/6/10,Central,34.0442,-118.2439
101,90079,329,{'0329': 'Vandalized'},1,4/2/10,4/5/10,Central,34.0537,-118.2455
102,90017,,{'nan': 'Unknown code'},1,4/8/10,4/8/10,Central,34.0481,-118.2633
103,90014,416,{'0416': 'Hit-Hit w/ weapon'},1,4/8/10,4/8/10,Central,34.046,-118.2509
104,90079,302,{'0302': 'Aimed gun'},1,4/10/10,4/10/10,Central,34.0496,-118.2458
105,90079,0416 0429,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}",2,4/11/10,4/14/10,Central,34.0524,-118.2467
106,90012,0329 1251 1300,"{'0329': 'Vandalized', '1251': 'Victim was a student', '1300': 'Vehicle involved'}",3,4/12/10,4/12/10,Central,34.0672,-118.2385
107,90013,421,{'0421': 'Threaten to kill'},1,4/13/10,4/14/10,Central,34.0459,-118.2351
108,90014,914,{'0914': 'Other Felony'},1,4/14/10,4/14/10,Central,34.0446,-118.249
109,90017,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,4/14/10,4/14/10,Central,34.0494,-118.2599
110,90014,433,{'0433': 'Makes victim kneel'},1,4/15/10,4/15/10,Central,34.0428,-118.2461
111,90014,344,{'0344': 'Removes vict property'},1,4/15/10,4/15/10,Central,34.046,-118.2509
112,90012,,{'nan': 'Unknown code'},1,4/15/10,4/16/10,Central,34.0673,-118.2354
113,90014,1100,{'1100': 'Shots Fired'},1,4/16/10,4/16/10,Central,34.0461,-118.2476
114,90014,1402,{'1402': 'Evidence Booked (any crime)'},1,4/16/10,4/16/10,Central,34.0467,-118.2556
115,90012,0337 0355 0416 0417,"{'0337': 'Demands money', '0355': 'Demanded property other than money', '0416': 'Hit-Hit w/ weapon', '0417': 'Kicked'}",4,4/16/10,4/16/10,Central,34.0649,-118.2399
116,90012,0337 0400,"{'0337': 'Demands money', '0400': 'Force used'}",2,4/16/10,4/16/10,Central,34.0619,-118.2369
117,90014,0344 0416,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon'}",2,4/16/10,4/16/10,Central,34.0435,-118.2471
118,90021,0416 0417 0429 2000,"{'0416': 'Hit-Hit w/ weapon', '0417': 'Kicked', '0429': 'Vict knocked to ground', '2000': 'Domestic violence'}",4,4/15/10,4/16/10,Central,34.0364,-118.2406
119,90079,0329 1402,"{'0329': 'Vandalized', '1402': 'Evidence Booked (any crime)'}",2,4/17/10,4/17/10,Central,34.0522,-118.2434
120,90013,0400 1402,"{'0400': 'Force used', '1402': 'Evidence Booked (any crime)'}",2,4/17/10,4/17/10,Central,34.0442,-118.2439
121,90012,0400 0421 0432 1402,"{'0400': 'Force used', '0421': 'Threaten to kill', '0432': 'Intimidation', '1402': 'Evidence Booked (any crime)'}",4,4/17/10,4/17/10,Central,34.0582,-118.2387
122,90021,0400 0416 0417,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '0417': 'Kicked'}",3,4/17/10,4/17/10,Central,34.0394,-118.2405
123,90014,329,{'0329': 'Vandalized'},1,4/18/10,4/18/10,Central,34.0488,-118.2518
124,90012,0421 0432 1402,"{'0421': 'Threaten to kill', '0432': 'Intimidation', '1402': 'Evidence Booked (any crime)'}",3,4/17/10,4/17/10,Central,34.0582,-118.2387
125,90021,0400 0416 0417,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '0417': 'Kicked'}",3,4/17/10,4/17/10,Central,34.0394,-118.2405
126,90014,2000,{'2000': 'Domestic violence'},1,4/20/10,4/21/10,Central,34.0449,-118.2458
127,90014,2000,{'2000': 'Domestic violence'},1,4/20/10,4/21/10,Central,34.0449,-118.2458
128,90021,0400 1300,"{'0400': 'Force used', '1300': 'Vehicle involved'}",2,4/21/10,4/21/10,Central,34.0346,-118.2323
129,90017,0416 0417 0429,"{'0416': 'Hit-Hit w/ weapon', '0417': 'Kicked', '0429': 'Vict knocked to ground'}",3,4/24/10,4/24/10,Central,34.0494,-118.2581
130,90012,0416 0417,"{'0416': 'Hit-Hit w/ weapon', '0417': 'Kicked'}",2,4/23/10,4/24/10,Central,34.0656,-118.2374
131,90014,411,{'0411': 'Cut/stabbed'},1,4/24/10,4/25/10,Central,34.0423,-118.2452
132,90014,0400 0416 2000,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}",3,4/24/10,4/24/10,Central,34.046,-118.2509
133,90014,411,{'0411': 'Cut/stabbed'},1,4/24/10,4/24/10,Central,34.0423,-118.2452
134,90079,344,{'0344': 'Removes vict property'},1,4/25/10,4/25/10,Central,34.0537,-118.2455
135,90017,325,{'0325': 'Took merchandise'},1,4/25/10,4/26/10,Central,34.048,-118.2577
136,90014,416,{'0416': 'Hit-Hit w/ weapon'},1,4/26/10,4/26/10,Central,34.046,-118.2509
137,90015,0416 0907 1402 2000,"{'0416': 'Hit-Hit w/ weapon', '0907': 'Narcotics (Buy-Sell-Rip)', '1402': 'Evidence Booked (any crime)', '2000': 'Domestic violence'}",4,4/26/10,4/27/10,Central,34.032,-118.2657
138,90014,1501,{'1501': 'Other MO (see rpt)'},1,10/26/10,10/26/10,Central,34.0446,-118.249
139,90079,329,{'0329': 'Vandalized'},1,4/28/10,4/28/10,Central,34.0503,-118.247
140,90014,416,{'0416': 'Hit-Hit w/ weapon'},1,4/29/10,4/30/10,Central,34.042,-118.2468
141,90033,329,{'0329': 'Vandalized'},1,4/29/10,4/30/10,Hollenbeck,34.0486,-118.2192
142,90014,0311 0329 1402,"{'0311': 'Graffiti', '0329': 'Vandalized', '1402': 'Evidence Booked (any crime)'}",3,4/30/10,4/30/10,Central,34.0411,-118.2545
143,90017,400,{'0400': 'Force used'},1,5/1/10,5/1/10,Central,34.0494,-118.2599
144,90014,400,{'0400': 'Force used'},1,5/2/10,5/2/10,Central,34.0481,-118.2507
145,90079,,{'nan': 'Unknown code'},1,5/3/10,5/3/10,Central,34.051,-118.2445
146,90014,0334 0411 0906,"{'0334': 'Brandishes weapon', '0411': 'Cut/stabbed', '0906': 'Gangs'}",3,5/3/10,5/3/10,Central,34.0423,-118.2595
147,90079,404,"{'0404': 'Bomb Threat, no bomb'}",1,5/3/10,5/3/10,Central,34.054,-118.2435
148,90021,416,{'0416': 'Hit-Hit w/ weapon'},1,5/5/10,5/5/10,Central,34.0377,-118.2425
149,90015,344,{'0344': 'Removes vict property'},1,5/5/10,5/5/10,Central,34.0416,-118.262
150,90017,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,5/5/10,5/5/10,Central,34.048,-118.2577
151,90031,416,{'0416': 'Hit-Hit w/ weapon'},1,5/6/10,5/6/10,Central,34.0721,-118.2213
152,90014,0337 0344 0416,"{'0337': 'Demands money', '0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon'}",3,5/6/10,5/6/10,Central,34.0467,-118.252
153,90014,0416 0411,"{'0416': 'Hit-Hit w/ weapon', '0411': 'Cut/stabbed'}",2,5/6/10,5/7/10,Central,34.0398,-118.2413
154,90013,1402,{'1402': 'Evidence Booked (any crime)'},1,5/6/10,5/6/10,Central,34.0537,-118.2379
155,90014,0344 0400,"{'0344': 'Removes vict property', '0400': 'Force used'}",2,5/6/10,5/6/10,Central,34.0428,-118.2461
156,90015,329,{'0329': 'Vandalized'},1,5/7/10,5/7/10,Central,34.0308,-118.2602
157,90079,0400 0418,"{'0400': 'Force used', '0418': 'Kidnapped'}",2,5/7/10,5/10/10,Central,34.0495,-118.2494
158,90079,1501,{'1501': 'Other MO (see rpt)'},1,5/8/10,5/8/10,Central,34.0489,-118.2453
159,90021,416,{'0416': 'Hit-Hit w/ weapon'},1,5/9/10,5/10/10,Central,34.0382,-118.2384
160,90014,329,{'0329': 'Vandalized'},1,5/10/10,5/10/10,Central,34.0474,-118.2496
