ID,zip_code,mo_code,mo_description,charge_of_violations,date_occurred,date_reported,area_name,latitude,longitude
65,90017,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,2010-03-12,2010-03-12,Central,34.0499,-118.2614
66,90014,0400 2000,"{'0400': 'Force used', '2000': 'Domestic violence'}",2,2010-03-13,2010-03-13,Central,34.0452,-118.2534
67,90014,0337 0400 0411 0432 0906,"{'0337': 'Demands money', '0400': 'Force used', '0411': 'Cut/stabbed', '0432': 'Intimidation', '0906': 'Gangs'}",5,2010-03-14,2010-03-14,Central,34.0407,-118.2468
68,90071,0432,{'0432': 'Intimidation'},1,2010-03-12,2010-03-14,Central,34.0502,-118.2540
69,90013,0334,{'0334': 'Brandishes weapon'},1,2010-03-14,2010-03-14,Central,34.0442,-118.2439
70,90017,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-03-14,2010-03-15,Central,34.0451,-118.2604
71,90014,2000,{'2000': 'Domestic violence'},1,2010-03-15,2010-03-15,Central,34.0407,-118.2468
72,90021,0329,{'0329': 'Vandalized'},1,2010-03-14,2010-03-14,Central,34.0384,-118.2305
73,90014,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-03-16,2010-03-16,Central,34.0446,-118.2450
74,90014,0329 1217,"{'0329': 'Vandalized', '1217': ""Teenager(Use if victim's age is unknown)""}",2,2010-03-18,2010-03-18,Central,34.0424,-118.2493
75,90079,0400,{'0400': 'Force used'},1,2010-03-18,2010-03-18,Central,34.0482,-118.2472
76,90079,0400,{'0400': 'Force used'},1,2010-03-18,2010-03-18,Central,34.0482,-118.2472
77,90014,0416 0429 0917 1804,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground', '0917': ""Victim's Employment"", '1804': ""Susp is/was victim's employer""}",4,2010-03-19,2010-03-19,Newton,34.0371,-118.2475
78,90014,0305 0344 0416,"{'0305': 'Attacks from rear', '0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon'}",3,2010-03-19,2010-03-19,Central,34.0446,-118.2450
79,90012,,{'nan': 'Unknown code'},1,2010-03-20,2010-03-23,Central,34.0627,-118.2463
80,90012,0344 0906 1402 1609,"{'0344': 'Removes vict property', '0906': 'Gangs', '1402': 'Evidence Booked (any crime)', '1609': 'Smashed'}",4,2010-03-21,2010-03-21,Central,34.0635,-118.2458
81,90029,1402,{'1402': 'Evidence Booked (any crime)'},1,2010-03-21,2010-03-21,Northeast,34.0917,-118.2741
82,90014,0416 0419 1202,"{'0416': 'Hit-Hit w/ weapon', '0419': 'Pulled victims hair', '1202': 'Aged (60 & over) or blind/crippled/unable to care for self'}",3,2010-03-21,2010-03-21,Central,34.0452,-118.2534
83,90017,0344 0601 1402 1606,"{'0344': 'Removes vict property', '0601': 'Business', '1402': 'Evidence Booked (any crime)', '1606': 'Open/unlocked'}",4,2010-03-22,2010-03-22,Central,34.0480,-118.2577
84,90015,0416 0552,"{'0416': 'Hit-Hit w/ weapon', '0552': ""Suspect is Victim's Father""}",2,2010-03-19,2010-03-22,Central,34.0317,-118.2641
85,90071,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-03-22,2010-03-25,Central,34.0516,-118.2526
86,90017,0433,{'0433': 'Makes victim kneel'},1,2010-03-22,2010-03-24,Central,34.0480,-118.2577
87,90015,0344,{'0344': 'Removes vict property'},1,2010-03-23,2010-03-25,Central,34.0320,-118.2667
88,90026,0311 0329 0906,"{'0311': 'Graffiti', '0329': 'Vandalized', '0906': 'Gangs'}",3,2010-03-23,2010-03-23,Central,34.0717,-118.2493
89,90014,0400 0416,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon'}",2,2010-03-24,2010-03-24,Central,34.0446,-118.2450
90,90017,0906 1501,"{'0906': 'Gangs', '1501': 'Other MO (see rpt)'}",2,2010-03-25,2010-03-25,Central,34.0475,-118.2657
91,90015,2000,{'2000': 'Domestic violence'},1,2010-03-27,2010-03-27,Central,34.0454,-118.2657
92,90014,0400,{'0400': 'Force used'},1,2010-03-27,2010-03-27,Central,34.0474,-118.2531
93,90079,1501,{'1501': 'Other MO (see rpt)'},1,2010-03-26,2010-03-27,Central,34.0496,-118.2458
94,90013,0906 1100 1402,"{'0906': 'Gangs', '1100': 'Shots Fired', '1402': 'Evidence Booked (any crime)'}",3,2010-03-28,2010-03-28,Central,34.0449,-118.2415
95,90017,1402,{'1402': 'Evidence Booked (any crime)'},1,2010-03-28,2010-03-28,Central,34.0450,-118.2640
96,90014,0329,{'0329': 'Vandalized'},1,2010-03-29,2010-04-01,Central,34.0373,-118.2503
97,90012,0329 0421,"{'0329': 'Vandalized', '0421': 'Threaten to kill'}",2,2010-03-31,2010-03-31,Central,34.0635,-118.2426
98,90014,0344,{'0344': 'Removes vict property'},1,2010-04-02,2010-04-03,Central,34.0416,-118.2584
99,90012,0329 1402,"{'0329': 'Vandalized', '1402': 'Evidence Booked (any crime)'}",2,2010-04-03,2010-04-03,Central,34.0644,-118.2387
100,90013,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-04-05,2010-04-06,Central,34.0442,-118.2439
101,90079,0329,{'0329': 'Vandalized'},1,2010-04-02,2010-04-05,Central,34.0537,-118.2455
102,90017,,{'nan': 'Unknown code'},1,2010-04-08,2010-04-08,Central,34.0481,-118.2633
103,90014,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-04-08,2010-04-08,Central,34.0460,-118.2509
104,90079,0302,{'0302': 'Aimed gun'},1,2010-04-10,2010-04-10,Central,34.0496,-118.2458
105,90079,0416 0429,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}",2,2010-04-11,2010-04-14,Central,34.0524,-118.2467
106,90012,0329 1251 1300,"{'0329': 'Vandalized', '1251': 'Victim was a student', '1300': 'Vehicle involved'}",3,2010-04-12,2010-04-12,Central,34.0672,-118.2385
107,90013,0421,{'0421': 'Threaten to kill'},1,2010-04-13,2010-04-14,Central,34.0459,-118.2351
108,90014,0914,{'0914': 'Other Felony'},1,2010-04-14,2010-04-14,Central,34.0446,-118.2490
109,90017,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,2010-04-14,2010-04-14,Central,34.0494,-118.2599
110,90014,0433,{'0433': 'Makes victim kneel'},1,2010-04-15,2010-04-15,Central,34.0428,-118.2461
111,90014,0344,{'0344': 'Removes vict property'},1,2010-04-15,2010-04-15,Central,34.0460,-118.2509
112,90012,,{'nan': 'Unknown code'},1,2010-04-15,2010-04-16,Central,34.0673,-118.2354
113,90014,1100,{'1100': 'Shots Fired'},1,2010-04-16,2010-04-16,Central,34.0461,-118.2476
114,90014,1402,{'1402': 'Evidence Booked (any crime)'},1,2010-04-16,2010-04-16,Central,34.0467,-118.2556
115,90012,0337 0355 0416 0417,"{'0337': 'Demands money', '0355': 'Demanded property other than money', '0416': 'Hit-Hit w/ weapon', '0417': 'Kicked'}",4,2010-04-16,2010-04-16,Central,34.0649,-118.2399
